model,roc_auc,roc_auc_std,pr_auc,f1,recall,accuracy,fit_time_s
Bagging,0.8500237977501094,0.01051088572276273,0.663037426990506,0.6398199150238042,0.7545150501672241,0.7745860132608143,0.2086122989654541
Random Forest,0.8376489276428245,0.010302822824651602,0.6329179534628762,0.5610267074402905,0.49632107023411365,0.7937535165429211,0.5801699161529541
Extra Trees,0.8117893328250645,0.014891929548125335,0.5810388557402982,0.5389577446622179,0.4896321070234113,0.7776042906157752,0.5714380264282226
Decision Tree,0.6768511952532817,0.016745469936958888,0.4001958947072083,0.5250823387574928,0.5337792642140469,0.7440543040909313,0.06821537017822266
